Report Type,Id,Class,Submitted Date,Headline,Year,Season,Month,State,County,Location Details,Nearest Town,Nearest Road,Observed,Also Noticed,Other Witnesses,Other Stories,Time And Conditions,Environment,Follow-Up,Follow-Up Report,Date,Author,Media Source,Source Url,Media Issue,Observed.1,A & G References
Report,69006,Class A,2021-04-10,Hikers dusk sighting in Stinchcomb Wilfdlife Refuge (OKC),2019,Spring,April,Oklahoma,Oklahoma,"When I lived in NW Oklahoma City, I would frequently take evening walks at Stinchcomb Wildlife Refuge. The preserve is roughly 1000-acres located on the suburbs of Oklahoma City and Yukon adjacent to the Wiley Post Airport. Beginning from the parking lot at end of NW 50th street, the maintenance road will take you 2.5 miles upriver to the Kilpatrick bridge, where the N. Canadian river enters the reserve. However, the city only maintains the trail to the remote communication building, from there the trail becomes overgrown in the summers. The park is typically visited by local neighbors, bicyclists, horseback riders, and dog lovers.","Oklahoma City, OK",River Road (dirt hiking path),"This evening, I decided to venture pass the communication building as the foliage was still at ease. I continued another ½ mile up the path to where the powerlines cross the river, from here the river bank drops 15ft, giving a nice view of the river below. As I approached this area, my eyes were immediately caught by someone down below at the river edge. What I saw was an all-black figure down at the river edge about 250ft away. I thought it was strange because not many people hike off trail into the preserve during the summers nor late in the evening or even pass the communication building. As I watched this man down at the river bank, I started to notice settle detail like golden-red hair in the sunset. I also didnt notice any distinct clothing but hair alone. At this moment I remember being very confuse to what I was seeing. Whoever was down at the river, began to walk inland using its arms to move the reed bushes. That I saw its long hair dangling from its arm, shoulder to hand. Omg, its bigfoot I thought. I immediately began to reach for my phone without taking my eyes off the creature, that is when it noticed me. What terrified me the most was not able to make out any details in the face as we made eye contact. That is when I ran. I continued to ran until I met a couple with their dog back at the communication building. I will never forget the look of confusion on their faces when I came sprinting around the corner. I wanted to tell them about my experience but I continued to run as I thought they would not believe me. The following day I returned to look for footprints but was unable to venture into the overgrown foliage. The experience was not enough to scary me away completely, instead I was more cautious of the time of day and surroundings. I continued to exercise at Stinchcomb until I moved to AZ in July 2019.","The week prior I saw a homeless women making camp in the woods. Her hair was messy so I initially thought this was her at first. However, this was 1 mile downriver from where I saw the creature.",Myself.,I have been told by my coworker as he knows I frequently walk the trails. Also there is rumors of tree structures deep in the reserve. But these could have been built by teenagers who live in the nearby neighborhood. As I have seen many adolescents with their friends exploring the woods.,"Monday, April 15, 2019 at approximately 7:10pm is when I saw the creature. (I had just picked up my taxes before the office closed)",Wildlife refuge park located on the suburbs of Oklahoma City and Yukon.,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness, Chase Collins, by phone. He now lives in Arizona and works as a night auditor at a local resort. He lived in Oklahoma City for a year or so and would walk along the same trail once or twice per week. He would never walk as far as he did on this occasion because beyond a certain point the road was not maintained and was very overgrown.As stated in his report he estimates his distance was 250 feet or so from the figure. He watched it for 10-15 seconds before reaching for his phone to take photos. The figure was already moving into thicker brush by the time he got his phone in position to take photos. He was very certain that it was covered with dark fur that had a reddish-brown tinge on the edges. The fur was hanging down from its arms as it was parting the reeds to move back into the woods away from the river bank.The location of the witness when he spotted the figure:35.5394882, -97.6781140The approximate location of the figure:35.5399187, -97.6790202The BFRO shot two episodes of Finding Bigfoot in Oklahoma. One segment of one episode was the investigation of a credible sighting by two kayakers within this same refuge. There were other second hand stories as well. This swampy refuge is crawling with wildlife. The only hunting allowed is for waterfowl, and only during that season. No camping allowed and theres only a few trails, and only on the perimeter.---------------------------------------------------------------------------------UPDATE (7/29/21)>>>>>>>>>>>>>>>Hello BFRO,My name is Ryan White and Im writing you this email in response to a specific Bigfoot report on your website Report #69006 Hikers dusk sighting in Stinchcomb Wildlife Refuge. I recently became aware of this Bigfoot sighting report which, according to your records, occurred on Monday, April 15th, 2019. I read the report for the 1st time on July 28th, 2021.Im a part of a Bigfoot Group called the North Canadian River Project which is a group based out of the El Reno & the OKC area. We were planning to go kayaking on the North Canadian River on Saturday, April 13th, 2019 on a group investigation. Due to weather we made the decision to not go kayaking that day. A small group of us (3) to be exact (Ryan White, Evans Bailey, & Jody Blaylock), still wanted to investigate on this date despite the bad weather. Our backup plan was to meet at the parking area of the Stinchcomb Wildlife Refuge and hike trails and the perimeter road looking for signs of any Sasquatch type activity. Once again, our hike occurred 2 days before your Sighting Report on Monday, April 15th, 2019.You may be interested to know that we found a line of tracks which clearly showed right and left prints that were anywhere from a quarter of a mile to a half mile long.  The. Tracks were a consistent 10.5 inches. We documented our hike with some video footage of the trackway. The video footage can be found on a site called bitchute.com and Ill provide the exact link of the video at the end of this message. Points of interest in the video:(Trackway Segment 1) 9:37 - 15:03(Trackway Segment 2) 16:54 - 19:42(Measurement of Track) @ 19:00(Well House Reference) @ 17:47Your Eyewitness Report calls it a communication building.(Power line Cut Footage) @ 19:42Your Sighting Report happened very close to the Power Line Cut towards the North section of the park. Our trackway we found may or not be related to the creature seen in your sighting report. Our group was interested in getting your response to the tracks we discovered. Thank you for your time and reviewing our findings. The link to our video footage is here: https://www.bitchute.com/video/Tskyjf6cwBI/Ryan White========================================For Facebook discussion about this report click here.",15,,,,,,
Report,71794,Class B,2021-10-31,Possible daylight sighting by motorist 11 miles west of Honobia,2021,Fall,October,Oklahoma,Pushmataha,[Investigator Notes:,Nashoba,144,"Driving down the road headed towards Honobia, I topped a hill. I was on a long downhill then a long uphill into a left hand turn. As I came over the hill, in the distance at the top of the next hill, something reddish brown crossed the road. It didnt appear to go straight across, more at a diagonal from right to left with right being the farthest point left being the closest.",Nothing,Just me,Yes,10:10 am clear skies,Highway,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,I spoke with witness Daryl Trout by phone. He lives in Texas but he visits Honobia periodically because his friend owns cabins in the area.He was heading toward Honobia from Noshoba was he had a glimpse lasting a few seconds of an upright figure the color of an Irish setter crossing Highway 144 quickly at 10:10am yesterday morning. It was going from south to north across the highway. He was at a distance and could not estimate the height but was certain it was on two legs and moving quickly. There were no other vehicles on that portion of 144 at the time.He returned shortly after the incident to look for tracks but there is not enough bare soft ground on the shoulder of the highway to create any foot impressions.,30,,,,,,
Report,70716,Class B,2021-09-23,"Knocks and responses heard near Muskrat Cove campground, Moraine State Park",2016,Summer,August,Pennsylvania,Butler,Muskrat Cove grouping tenting site at Moraine State Park,Moraine State Park,,,,"no, only I was awake",,midnight,"within 40 yards of the lake.  We were in an open field tent site.  Woods behind us right up to waters edge. On the other side, a trail road separated our site from the woods.",Follow-up investigation report by BFRO Investigator Matthew Moneymaker, ,,,,,,,
Report,71700,Class A,2021-10-07,Trucker's daylight sighting of a Sasquatch in Francis Marion National Forest,2021,Spring,March,South Carolina,Berkeley,The route I took that time was through the back country due to google maps trying to give the most economical route. To the best of my memory it was near Hwy 41 and Steed Creek Road.,Huger,Hwy 41,I witnessed a 8-9 ft tall upright hominoid creature with black hair and brownish grey skin apparent on its face chest and abdomen. There was also noticeable scraggly matted hair hanging from its arms. It had wide bold shoulders and hair partly covering its forehead. The eyes were wide set and large.,,I was alone,I have seen other reports on the bfro site.,It was around 4pm on a semi cloudy day,It was a swampy flooded area. Recent rains brought the water level up to the edge of the road in many places.,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke to the witness, Kris K., at length. He is a long haul trucker, originally from Michigan but now lives outside Toronto Canada. He has driven loads down to the Nucor plant a few times. On this occassion he had changed some preferences on his Google Maps app. This caused him to be re-routed to a more ""economical"" route once he was in the vicinity of Nucor. The route took him along roads that were nearly flooded from recent heavy rains. The flood water at the edge of the road on both sides made him too nervous to stop the truck after he spotted the sasquatch.He was driving southwest on Cainhoy Road. The sasquatch was on the right side of the road, roughly 60-90 feet into woods. It was early Spring so the leaves had not grown back on the trees. He got only a brief look at the sasquatch but it was long enough to notice the fur pattern and other elements. The fur was thinner on the chest and abdomen compared to the arms and legs. The hair was was not thick (or not present at all) on the face. He described the skin color as brown-ish gray. The hair on the arms was longer and possibly matted. One arm was outstretched onto the trunk of a broken tree. The most impressive and shocking element of its appearance was its size -- its height and broad shoulders and powerful build. The observation was too brief for Kris to recall whether the saquatch was actually standing in water or rather in a spot not covered by the flood water. ",,,,,,,
Report,69008,Class A,2021-04-11,Sighting by motorist in thick river bottom 75 miles northeast of Memphis,2021,Spring,March,Tennessee,Dyer,"[Investigator Note: The sasquatch was spotted less than 100 feet from a small river that serves as the boundary between Dyer County and Gibson County. It was on the Gibson County side of the boundary. The witness was driving along Hwy 104 coming from Trenton towards Dyersburg. He was passing through Macedonia Bottom. The sasquatch was on the driver's left side 30 yards back into the woods from the road, striding parallel to road, moving toward the river. The witness was roughly 50 yards before the river and county line.",Between Trenton Tennessee and Dyersburg Tennessee,Highway 104,"I was driving on Highway 104 between Trenton Tn and Dyersburg Tn . We were headed home. There is a large wooded area as you are in Dyer county and Gibson county . I look to my left glancing at the woods just before the river. I did a double take. Told my wife and my son, ""You wont believe what I just saw!""",no,2 were with me but we're not looking that way.,,,4 pm afternoon sunny . Good weather,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness by phone. His surname is Powell. His nickname and CB handle is ""Lightning"". He is a woodworker and fence builder. He lives in Tatumville, less than 5 miles from the location of the sighting. He is married and has four grown boys. His wife and one of his boy was with him in the vehicle when the sighting occured but they didn't see the figure. He only saw it for a few seconds as it took a few strides in the direction of the river.Although his observation was brief the witness was very certain about what he saw. He is confident that it was not a person. It was 30 yards from the edge of the road. It was tall and covered with dark fur. He had a side view of it and said it had noticeably long arms.He doubts that a person would be walkiing in that bottom so close to that creek because it is ""so full of snakes.""  Snakes may actually be an important food source for sasquatches.Here is a Google Maps link to the location: Click here..",,,,,,,
Report,69641,Class A,2021-09-04,Close-range multi-witness sighting 3 miles west of Lawrenceburg,2021,Summer,June,Tennessee,Lawrence,Intersection of glen springs road and ridge lane.,Lawrenceburg TN,Glen springs road,"My husband and I saw a what we believe to be a Sasquatch on the night of June 12, 2021. We were driving home together with our daughter at approximately 9:30 PM when we turned onto our street. Mind you, we live in the deep country side outside of Lawrenceburg Tennessee.",,2,,9:30 PM,Street in countryside,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,I spoke with the wife by phone.  She is credible. This is a solid report and both witnesses are available to speak with local jouranlists.,12,,,,,,
Report,70712,Class B,2021-09-22,Possible sighting by motorist in daylight between Lake O' the Pines and Ore City,2021,Fall,September,Texas,Marion,"32.793376, -94.694120",Ore City,450 and Old Avinger road,"Driving home from taking my kids to school. The area is very wooded, lots of wildlife (deer, wild pigs, armadillo). I was driving on 450 and was slowing down to turn on to Old Avinger Road when I saw something move just behind the first line of trees on my right. It was tall and black, definitely not any of the previously mentioned animals. The deep black color is what made it stand out to me because although the area is wooded it was sunny out and the black color looked out of place with all the other shadows. It's size and color made it stick out. When I slowed to look more it ran into the wooded area fast, not on 4 legs. It was definitely upright and on 2 thick legs. I couldn't see its entire body. What I saw was at least 5 to 6 feet above the edge of the road, and the ground were it was standing is 2 to 3 feet lower than the road.",Usually see a ton of stray dogs in this area. My kids and I were just talking about how they all seem to have disappeared over the last week and we haven't seen much other wildlife besides the occasional roadkill.,Just myself in the car,Just moved to the area from California about a month ago. Never knew people had Bigfoot sightings out here (not like they did all over northern California where I grew up),"Early morning, around 7:50 am","Lots of trees/ forest, not far from Lake Of the Pines",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness, Melody Flores, by phone.  She is a 34 year old caretaker for seniors. Her husband is a construction worker. She lives roughly 3 miles from this location and drives by it a few times each day. She was slowing down to make a left turn, and she then slowed down even more when she spotted the figure on the right side. That's when it ran off. She is certain she saw this tall figure standing just inside the treeline and then running back into the woods when she slowed down. She could not make out details but she is certain that it was not a deer or horse or any other large animal. I asked where she usually sees deer herds while driving through the area along the same route. She said she sees them near Old Avinger Road but never along the larger 450 Route.  Interestingly, the position where she saw the figure standing appears to provide an excellent strategic view looking down a long stretch of Old Avinger Road, where deer would be crossing or walking along, especially in the mornings.I'm calling this a Class B report because she didn't get a clear look at it, but the factors she observed suggests it was most likely a sasquatch, by process of elimination.For discussion about this report, see Facebook post and comments: https://bit.ly/3lDFxlR.",9/22/2021,,,,,,
Report,70712,Class B,2021-09-22,Possible sighting by motorist in daylight between Lake O' the Pines and Ore City,2021,Fall,September,Texas,Marion,"32.793376, -94.694120",Ore City,450 and Old Avinger road,"Driving home from taking my kids to school. The area is very wooded, lots of wildlife (deer, wild pigs, armadillo). I was driving on 450 and was slowing down to turn on to Old Avinger Road when I saw something move just behind the first line of trees on my right. It was tall and black, definitely not any of the previously mentioned animals. The deep black color is what made it stand out to me because although the area is wooded it was sunny out and the black color looked out of place with all the other shadows. It's size and color made it stick out. When I slowed to look more it ran into the wooded area fast, not on 4 legs. It was definitely upright and on 2 thick legs. I couldn't see its entire body. What I saw was at least 5 to 6 feet above the edge of the road, and the ground were it was standing is 2 to 3 feet lower than the road.",Usually see a ton of stray dogs in this area. My kids and I were just talking about how they all seem to have disappeared over the last week and we haven't seen much other wildlife besides the occasional roadkill.,Just myself in the car,Just moved to the area from California about a month ago. Never knew people had Bigfoot sightings out here (not like they did all over northern California where I grew up),"Early morning, around 7:50 am","Lots of trees/ forest, not far from Lake Of the Pines",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness, Melody Flores, by phone.  She is a 34 year old caretaker for seniors. Her husband is a construction worker. She lives roughly 3 miles from this location and drives by it a few times each day. She was slowing down to make a left turn, and she then slowed down even more when she spotted the figure on the right side. That's when it ran off. She is certain she saw this tall figure standing just inside the treeline and then running back into the woods when she slowed down. She could not make out details but she is certain that it was not a deer or horse or any other large animal. I asked where she usually sees deer herds while driving through the area along the same route. She said she sees them near Old Avinger Road but never along the larger 450 Route.  Interestingly, the position where she saw the figure standing appears to provide an excellent strategic view looking down a long stretch of Old Avinger Road, where deer would be crossing or walking along, especially in the mornings.I'm calling this a Class B report because she didn't get a clear look at it, but the factors she observed suggests it was most likely a sasquatch, by process of elimination.For discussion about this report, see Facebook post and comments: https://bit.ly/3lDFxlR.",9/22/2021,,,,,,
Report,69015,Class A,2021-04-13,Motorist daylight sighting 35 miles north of Austin,2017,Summer,June,Texas,Williamson,"This is a back road just north of Liberty Hill that anyone can get to, but it's a road that didn't have a high amount of traffic at the time.","Liberty Hill, TX",County Road 200 and County Road 236,"This sighting has stayed with me for a long time.  I didn't want to submit it at first, but based on the number of sightings identified I am now forwarding on what I saw.","Only that I believe that the little sound devices on my car are what caused it to come out and cross the street.  I don't remember where I got them now, but I honestly believe that whatever sound came out of them while I was driving was what caused this creature to be so blatant about running across the road in front of us.  Otherwise, it could have easily stayed where it came from and I would have completely driven by it without even knowing that it was there.","Only my son, but he didn't see anything as he was young and based on his height while he was seated. It also happened very quickly.",The reason I submitted this was because you have a couple of other sightings reported in the same county in the same year and so I don't believe that I was just seeing things.,It was between 9 and 10 in the morning based on the function we were going to.  It was clear and calm and I could see perfectly well without any glare from the sun.,"236 has lots of trees and there is a stream that crosses under the road (if I remember correctly) just a short ways down from where we spotted this creature.  It isn't a main highway, but it is a pretty drive.",Follow-up investigation report by BFRO Investigator Gary Christensen,"I spoke with the witness by phone. His verbal report was consistent with his written report. During our conversation he recalled these additional details:The creature was standing on the left side of the road and ran on two legs across the road to his right. He estimates that it was 6 feet plus in height and was built very powerfully. It moved very quickly with a smooth gait. He did not recall any smell or facial features. The distance between it and his car was several car lengths, and he did not believe he was traveling very fast during the encounter. The weather was clear and calm and the time was around 8:30 am. He felt strongly that the deer whistles on his car alerted the creature and might have contributed to the aggression it showed when shaking the tree after crossing the road. He did clearly see the tree shake violently but did not actually see the creature do the shaking.I did a search of the area on Google Earth and found that the forest was much thicker in the direction that the creature ran. The North Fork of the San Gabriel River was less than 1/2 mile away.I found the witness to be very sincere and credible and believe he had an encounter with a bigfoot.",24,,,,,,
Report,71803,Class B,2021-11-02,Group of elk hunters hear multiple Sasquatch wood knocks near Stateline Reservoir in Uintas,2021,Fall,October,Utah,Summit,"coordinates  40.9858333, -110.3961111 right by State Line reservoir in The Uinta's",Robertson Wyoming,FR072,"Me my dad my cousin, my brother, and my uncle were Elk hunting by State line reservoir Utah.  My uncle and my cousin split up and the rest of us went one way.  It was getting dark we headed to a meadow to meet my cousin and uncle.  We are waiting for them so we sit down on a log.  My uncle and cousin are still a ways away.  Then in the back of my head felt like someone was watching me.  Then we here 2 very distinct wood on wood knocks in front of us.  Then we heard 2 behind us.  Then 2 more in front of us.  I got up and knocked back and in the distance we heard another bigger one.  We also a bit later heard a single knock even closer behind us.  I did some rock clacks and after a while I herd something move behind us.  On our way out my uncle herd one knock.",,"5: Me, my dad, my brother, my uncle, and cousin.  We were siting on a log, uncle and cousin were hiking to us.",My dad hared about a siting by Marsh lake.  We were in that area.,5:45-6:30    It was snowing lightly,Pine forest by a meadow by reservoir,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with a couple of the witnesses. The family group of hunters had split up beforehand but the witnesses are very certain that it was not those other family members playing pranks because they all heard some knocks after the group reunited. The knocks started occurring at dusk, roughly 6pm was there guess. There was no one else in the area. The group hiked in at least 1.5 miles from where they parked. The knocks were heavy and loud wood knocks. They were double knocks (two in row) and were clearly responding to each other from two different directions. One direction was to the southwest of coordinates shown above. The other direction was to the southeast. It was difficult to determine the distance from witnesses but they estimate within 100 yards.The son had seen two cow elk in the area earlier but there were no elk visible in the meadow near which the group was waiting.",14,,,,,,
Report,69503,Class B,2021-07-27,Possible sasquatch tree knocks TWO NIGHTS AGO along river outside Clintwood,2021,Summer,,Virginia,Dickenson,You travel rt 83 east from clintwood Virginia about 2 miles then turn left on cranesnest river Rd. then travel appointmently 5 miles to the end of the road then it would be across the river.,Clintwood,Cranesnest river road,At around 11pm on July 26th my wife and I we're night fishing on the backwater of cranesnest river in Dickinson county Virginia. My wife's head was hurting so she decided to take a nap we had heard something large walking in the woods but wrote it off as a bear or deer as both are plentiful in our area. She had been asleep for about an hour when I heard a large knock about 50 yards up in the tree line then about 15 to 20 seconds later several hundred yards up the ridge there was another knock. Both sounded as if someone had taken a 4x4 post and struck a tree with it. Then about 10 min later there was a splash in the water about 20 feet away from our boat. This splash sounded like something weighing 20 or 30 lbs had struck the water waking my wife. It's not unusual to hear large fish jumping at night but this was different after the splash no more than a couple minutes had passed and there was 2 more knocks. And they were closer than the first one.,,Brandy mullins,We had an experience in late may early June in almost the same place just a couple hundred yards from where we were,11:30pm to 12am,Mountains trees and the lake are the only things around. About a quarter of a mile up the mountain is an old abandoned mines.,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with the witness. He's a 47 year old carpenter. He sounds very credible. This is a location to check out soon if you have a boat and a thermal imager. On Google Maps, Cranesnest River Road appears to terminate at a distance from the river. The witness says it is now blocked off where it bends away from the river, so the incident did occur approximately across the river from where it ends now. He described more than one tell-tale Class B incident along that portion of river, including near the cove where Neel Branch meets the river. Here is the map pin for where he and his wife heard knocks, etc., two nights ago: Click here. For discussion on this report see official BFRO Facebook group.",July 26,,,,,,
Report,69270,Class B,2021-05-31,"Possible Sasquatch howls north of Leavenworth, east of Lake Wenatchee",2021,Spring,May,Washington,Chelan,Leavenworth Thousand Trails,"Plain, WA",Chiwawa River Road,"My name is Niels Nelson.  I stay/live in a travel trailer at Thousand Trails Leavenworth, WA. However the resort is 18 miles away from Leavenworth outside of Plain, WA.",,Myself and my dog Dexter (7 year old lab) who btw has been acting really odd not wanting to go on walks the last few days down the hiking trails/cross country ski paths that are where the sounds came from behind my trailer lot,Not that I am aware...but I haven't searched or asked...there is an older gentleman here who I must talk to -,1:00am PST,"Heavy forest, open valley and meadows, rugged mountains and hills, ridges, rivers, lakes...everything possible for almost any animal is here to survive and survive and flourish away from humans...",,,05/31/2021,,,,,,
Report,69049,Class B,2021-04-22,Cabin renters report wood knocks and rock throwing near Leavenworth,2021,Spring,April,Washington,Chelan,Bear Paw rental cabin of Comfy Cabins. Lots of woods behind the cabin but  still pretty close to a main road and another house currently empty in front of this one. Houses are all around this road and area but plenty of woods in between.,Leavenworth,Hwy 2,Arrived on 4/20 (and no we are not pot people) at a rental cabin two miles from downtown Leavenworth.,,Myself and my husband.,Pacific Northwest of course we hear about sightings,About 8pm -11pm,Hilly wooded ridge behind cabin,Follow-up investigation report by BFRO Investigator Jeff Sidebottom,"Spoke with the witness and she seems very credible. Her husband was also a witness. April 20th:They arrived at the Bear Paw rental cabin near Leavenworth, WA. on April 20th. The weather was hot and clear. My research confirms moon phase was a Waxing Gibbous.The cabin sits higher up on a hill than the ones around it. There are 2 hills in the back that form a ""V"" shape down to the bottom behind the cabin. They went to bed around 10:30pm. The witness described hearing one loud distinct wood knock. April 21st:Weather was 70 degrees or so. Sunny. They were sitting in the hot tub and playing some jazz music a bit loud and she heard 2 loud distinct wood knocks she believes were within 50 feet or so of the hills behind the cabin. They went to bed around 10pm and around 10:30pm a large rock hit the side of the bedroom wall. They were sleeping in separate rooms due to bad matress and a large rock hit the side of the cabin on her husband's bedroom wall. The husband said he could hear something rustling loudly in the woods behind the cabin. He looked and saw two deer come to the base of the ""V"" made by the hills then ""bolt"" back the way they came as if spooked. April 22nd:That morning the witness found a few rocks on top of the soil while the others were inbedded from sitting so long.Around 8:30pm they were sitting inside and she had her back to the wall when a large rock hit the living room wall of the cabin. April 23rd: Weather was cloudy and a bit cooler. The husband put apples out in different areas and did some wood knocks and tried some calls. They said no activity at all that day or night. Other than seeing some wild turkey. April 24th:Weather was rainy and cloudy. No activity at all. April 25th: The deck was scuffed up near the hot tub which sits next to a game trail. Part of the deck is wood and part is Trex.She said it looks similar to deer hooves marks but deep. The ground was dry. There was a fresh gouge out of the back deck. There were claw marks everywhere. Some were thin and long and she described them as 4 per print. The husband had heard some scuffling or something on the deck that night but never looked to see what it might be.  ",21,,,,,,
Report,69614,Class A,2021-08-27,Close-range 5:30am road crossing sighting by communting motorist five miles west of Bremerton,2021,Summer,August,Washington,Kitsap,The location is very rural no homes.  I'd have to say its 400 to 1000 ft from the powerlines leaving Gorst going towards Belfair on the left.,"Gorst, WA",Old Belfair Valley Rd,"I was driving to work this morning and came around a right hand corner and less than 100 ft in front of me was a large upright dark hairy object/animal/person in the roadway walking briskly from the left to the right. It was standing on two legs. I observed long arms swinging with the hands bent backwards like if you were swimming, as it walked quickly to the base of the bank next to the road. By the time I was parallel with where it crossed it was gone. It did not look at me.",,,,"5:26am, dark , when sun came up it was cloudy out.","The environment is maples and alders with grass and ferns on a bank leading up from the road, and a stand of larger trees up the bank from the roadway. The area in behind has been logged and replanted in the last 5 or so years. On the other side of the roadway it drops down to Gorst Creek.",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with Jill Bangart. Great witness.  She is very credible and very certain about what she saw on Friday morning before dawn. The sasquatch was only ten feet from the car when it disappeared from view in the trees on the edge of the road. Right before that the sasquatch was fully in her headlights as it sauntered off the road as she drove by.It was very tall. She couldn't give a height estimate but says it was much taller than the average person, and very muscular. The fur was ""dark and smooth"". It was not running across the road but rather walking. She believes she surprised it has she came around the curve. Jill commutes this route every week day around 5:30am on her way to the Navy Ship Yard where she works as a restoration contractor. There's a long history of sightings in this general area. Her commute at this hour would give her much higher odds for having a road crossing sighting than most folks in the area. Typically there a no vehicles, or very few, along this road at this hour. Why would a sasquatch be lurking around these woods a few miles from population? Answer: There are many deer in this area. It is a true deer hazard zone for motorists. She sees groups of deer near this road at least twice per week on her way to work. Both her and her son have had collisions with deer. It is a common occurance in this area.",27,,,,,,
Report,70737,Class B,2021-09-30,Heavy thuds and distinct rock clacking north of Teanaway Butte (Wenatchee NF),2010,Fall,October,Washington,Kittitas,In the mountains west of Jungle creek trail.,"Cle elum, Teanaway wilderness area",Teanaway rd North fork,I was hiking about 2-3 mile from our camp in Wenatchee National Forest and was sitting on a bluff that give an excellent view of the surrounding ridges. After a while of sitting and seeing nothing I hear a series of heavy sounding thuds that sound like they were in the rhythm of a person walking. I had no idea what it was. I thought maybe it was a deer bouncing away buy it didn't quite sound right. The thuds were almost cartoonishly heavy and loud.,,I was the only witness,No,Evening about 4pm,I was on a rocky bluff in an opening surrounded by pine trees and brush,Follow-up investigation report by BFRO Investigator Matthew Moneymaker,I spoke with the witness by phone. He seems very credible and did not know beforehand that heavy thud sounds are a commom element of bigfoot encounters. The thud sounds combined with the rock clacking make this incident very likely a bigfoot encounter.,,,,,,,
Report,69553,Class B,2021-08-09,Possible encounter in darkness outside Cle Elem,2017,Summer,August,Washington,Kittitas,Free Range Cattle Area,Cle Elum WA,Teanaway Rd,"The incident took place during the summer of 2017 in the Teanaway area of Kittitas County, just outside of Cle Elum WA. Our group was built of 4 persons staying the night in a free camping area. I do not remember the exact date only it was late August.","Now that I think of it, the bag of Charcoal briquets was the main target, and when we went and looked at it in the morning, some was gone and marks all over the bag.","My friends in the tents only heard the noises outside, the rustling and grunting that occurred while it was going through the bags.","This is a first for me. And like I like I said, I want to believe this was a black bear, or racoons. But the pieces are not adding up to that conclusion. It wasn't until I told this story to some friends who recommended I report it.",Night - 3:00 AM,Forested area near river.,Follow-up investigation report by BFRO Investigator Jeff Sidebottom,I spoke to the witness on the phone. He didn't really have any further detail to add other than what he had already put in the report. He did state that the way the creature was positioned over the table and able to reach across it confirms it was not a black bear. He said it was too large and a bear could not have got into that position. No tracks were found. The only thing that was really messed with was the charcoal which the creature seemed highly interested in. ,08/27/2021,,,,,,
Report,71773,Class A,2021-10-27,Nighttime motorist sighting 25 miles NW of Spokane,2021,Fall,October,Washington,Stevens,Highway 231 and Sanctuary Way Intersection,Springdale Wa,Highway 231,"Friday Oct 22, 9:40 pm I had just left our local school homecoming football game in Springdale Washington, with 2 of my children and a friend of theirs (2 High School freshman and a mid schooler). We were driving south on Highway 231 and as we approached Sanctuary Way (47.9763678, -117.7323568) just off the highway in the ditch I noticed a very large black ""thing"" in the tall yellow, uncut grass. I initially thought it may be a black wolf, so i slowed down and stared at it as we approached. By the time we drove to it, we were traveling about 35-40 MPH.",,4,I have heard of one instance in the vicinity occurring two months prior. Other than that just stories from Grandparents of sightings by them decades ago.,"9:40 pm, Overcast and slight sprinkles. It had been raining most of the afternoon and evening.","Mix of Farmland, trees and small mountains",Follow-up investigation report by BFRO Investigator Matthew Moneymaker,"I spoke with witness Rudy Peone by phone. He is credible and available to speak with local journalists about this recent incident, 25 miles northwest of Spokane.The incident happened at night but there were multiple witnesses. The other witnesses were children who were facing each other and talking when the figure first came into the drivers view. They turned to look just as the vehicle was passing the figure. They didnt see the same amount of details as the driver but they did all see a big dark figure among the yellow grass, illuminated peripherally by the headlights. They also saw that the figure was no longer there when the driver eventually turned around and drove back for a second look.The driver, Rudy, said the figure was apparently sitting on the edge of the ditch roughly three feet from the edge of the road. It was facing north. Its back was facing south. The road runs diagonally SW to NE in that section, so the figure would have seen vehicles approaching from the north.Rudy said it stepped away from the ditch edge and into the ditch as it was still haunched over, as if it was trying to avoid the headlights. Then it turned to watch as the vehicle passed by.He is certain that it walked on two legs and has two arms and hands and a head more like a human than a bear or wolf.",22,,,,,,
